序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2077,688246,嘉和美康,27.06,-4.42,-1.25,54864.0,151959588.0,8.8,29.38,26.89,28.38,28.31,1.56,3.99,-16.09,2.69,3723066282.0,3723066282.0,-0.26,-0.15,11.77,16.39
2078,600775,南京熊猫,14.5,-4.42,-0.67,505407.0,748248950.0,5.14,15.25,14.47,15.17,15.17,1.67,7.52,-110.77,4.38,13250658671.0,9741658671.0,0.14,0.0,19.34,18.66
2079,603042,华脉科技,16.62,-4.43,-0.77,80117.0,134027115.0,4.03,17.2,16.5,17.19,17.39,1.88,4.99,-55.02,3.09,2669003141.0,2669003141.0,-0.18,-0.12,5.66,-2.06
2080,600105,永鼎股份,26.04,-4.44,-1.21,904313.0,2380141915.0,4.37,27.0,25.81,27.0,27.25,1.27,6.19,86.76,11.54,38070344644.0,38070344644.0,0.04,0.08,70.98,3.75
2081,688072,拓荆科技,359.35,-4.44,-16.68,50007.0,1800273591.0,5.57,372.94,351.98,368.55,376.03,1.57,1.77,136.74,16.49,101460640534.0,101460640534.0,-0.18,-0.21,9.98,8.89
2082,600693,东百集团,14.64,-4.44,-0.68,415151.0,619635809.0,5.61,15.48,14.62,15.27,15.32,1.33,4.78,108.47,3.6,12734549041.0,12721468728.0,-0.07,-0.07,143.19,-17.85
2083,688272,富吉瑞,29.17,-4.45,-1.36,13841.0,40635909.0,5.67,30.54,28.81,30.54,30.53,1.44,1.82,-34.72,4.88,2216920000.0,2216920000.0,-0.1,0.0,10.12,-10.69
2084,603758,秦安股份,15.44,-4.46,-0.72,63615.0,99573268.0,5.14,16.24,15.41,16.18,16.16,1.98,1.45,38.72,2.67,6775026437.0,6775026437.0,-0.06,0.0,3.21,-11.21
2085,688681,科汇股份,19.73,-4.46,-0.92,39930.0,78912302.0,5.33,20.57,19.47,20.54,20.65,3.24,3.81,43.83,3.42,2065139100.0,2065139100.0,-0.25,-0.1,8.05,12.23
2086,688141,杰华特,51.44,-4.46,-2.4,95518.0,494953822.0,4.88,53.53,50.9,52.72,53.84,1.12,2.12,-37.78,13.16,23164543567.0,23164543567.0,-0.37,-0.17,2.02,18.44
