日期,收盘,涨跌幅,成交量,成交额,PER,時価総額,営業利益率,配当利回り,EPS,开盘,最高,最低
2023-09-20,751.384033203125,1.1264091203619042,2900,2179013.6962890625,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-09-21,750.4541015625,-0.1237624968766892,11400,8555176.7578125,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-09-22,757.8935546875,0.9913268658950036,4300,3258942.28515625,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-09-25,744.87451171875,-1.7177930711019362,12100,9012981.591796877,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-09-26,743.944580078125,-0.1248440678255025,5300,3942906.274414064,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-09-27,751.384033203125,1.00000098451134,1700,1277352.8564453125,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-09-28,751.384033203125,0.0,3400,2554705.712890625,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-09-29,745.8043823242188,-0.7425831042909392,400,298321.7529296875,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-10-02,747.664306640625,0.2493850077160964,1200,897197.16796875,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-10-03,756.963623046875,1.2437823129518355,12500,9462045.288085938,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-10-04,757.8935546875,0.1228502417172761,7700,5835780.37109375,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-10-05,776.4921875,2.4539901015741883,19400,15063948.4375,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-10-06,785.79150390625,1.197605920053113,9600,7543598.4375,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-10-10,775.5621948242188,-1.3017841286372178,5700,4420704.510498047,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-10-11,799.7404174804688,3.1175091846412206,26800,21433043.18847656,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-10-12,807.1798706054688,0.9302334810634694,7800,6296002.990722656,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-10-13,795.0907592773438,-1.4976973247681324,7000,5565635.314941406,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-10-16,730.925537109375,-8.070175815687808,16900,12352641.577148438,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-10-17,694.6582641601562,-4.961828682665348,21800,15143550.158691406,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-10-18,711.3970336914062,2.409640883130826,4400,3130146.9482421875,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-10-19,704.887451171875,-0.9150421229272344,3400,2396617.333984375,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-10-20,699.3079223632812,-0.7915488918575297,900,629377.1301269531,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-10-23,690.9385375976562,-1.196809659661946,2200,1520064.7827148438,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-10-24,691.8684692382812,0.1345896327997975,3700,2559913.3361816406,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-10-25,687.2188110351562,-0.6720436629008564,2100,1443159.503173828,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-10-26,683.4990844726562,-0.5412725179767652,1600,1093598.53515625,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-10-27,676.9896240234375,-0.9523729580766084,3400,2301764.7216796875,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-10-30,682.5691528320312,0.8241675515547664,1500,1023853.7292480468,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-10-31,686.2888793945312,0.5449596640965337,1800,1235319.9829101562,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-11-01,688.1487426757812,0.2710029751452181,3200,2202075.9765625,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-11-02,681.6392211914062,-0.9459468688504112,7200,4907802.392578125,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-11-06,675.1296997070312,-0.95498047676853,3500,2362953.9489746094,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-11-07,683.4990844726562,1.2396706542841862,2000,1366998.1689453125,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-11-08,678.8494262695312,-0.6802727770604644,2400,1629238.623046875,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-11-09,684.4290161132812,0.8219186211015028,1600,1095086.42578125,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-11-10,680.7092895507812,-0.5434787939914476,1600,1089134.86328125,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-11-13,676.0596313476562,-0.6830607829949598,4500,3042268.341064453,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-11-14,674.1997680664062,-0.2751034368880356,2100,1415819.5129394531,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-11-15,671.4099731445312,-0.4137935155148597,5900,3961318.8415527344,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-11-16,667.6903076171875,-0.5540080839018247,6700,4473525.061035156,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-11-17,675.1296997070312,1.1141980054185652,5400,3645700.3784179688,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-11-20,685.3589477539062,1.515153021902882,7700,5277263.897705078,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-11-21,687.2188110351562,0.2713706864622134,1000,687218.8110351562,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-11-22,681.6392211914062,-0.8119087769651534,5900,4021671.405029297,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-11-24,683.4990844726562,0.272851564790999,1900,1298648.2604980469,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-11-27,678.8494262695312,-0.6802727770604644,1800,1221928.9672851562,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-11-28,683.4990844726562,0.6849321842512524,1600,1093598.53515625,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-11-29,682.5691528320312,-0.1360545554120906,3500,2388992.0349121094,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-11-30,679.7793579101562,-0.4087197480724058,1800,1223602.8442382812,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-12-01,681.6392211914062,0.2735980814374539,2600,1772261.9750976562,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-12-04,684.4290161132812,0.4092773471865207,3300,2258615.753173828,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-12-05,677.9195556640625,-0.9510789718098932,1300,881295.4223632812,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-12-06,678.8494262695312,0.1371653314467202,3900,2647512.762451172,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-12-07,681.6392211914062,0.4109593105507514,1000,681639.2211914062,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-12-08,676.9896240234375,-0.6821199578043502,5200,3520346.044921875,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-12-11,672.3399047851562,-0.6868228216922123,4100,2756593.6096191406,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-12-12,664.9004516601562,-1.1065017964949186,6400,4255362.890625,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-12-13,655.6011352539062,-1.3986028108464943,9100,5965970.330810547,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-12-14,655.6011352539062,0.0,2500,1639002.8381347656,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-12-15,643.5120849609375,-1.8439642097762388,9100,5855959.973144531,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-12-18,637.9324951171875,-0.8670528454937543,8800,5613805.95703125,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-12-19,630.4930419921875,-1.1661818737785712,13000,8196409.545898437,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-12-20,656.5310668945312,4.1297878276452815,16200,10635803.283691406,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-12-21,678.8494262695312,3.3994369041161265,20000,13576988.525390623,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-12-22,670.4800415039062,-1.2328779316522542,20700,13878936.85913086,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-12-25,639.7923583984375,-4.576971901599847,28800,18426019.921875,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-12-26,629.5631103515625,-1.598838734567165,17100,10765529.18701172,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-12-27,637.9324951171875,1.329395675828482,13600,8675881.93359375,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-12-28,638.8624267578125,0.1457727342223158,5800,3705402.075195313,13.467976,4858451456.0,5.682,505.0,89.62,,,
2023-12-29,635.1427001953125,-0.5822421865341765,3600,2286513.720703125,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-01-04,646.3018188476562,1.7569466907062292,7400,4782633.459472656,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-01-05,664.9004516601562,2.877700831116492,6300,4188872.845458984,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-01-09,661.1807861328125,-0.5594319447454588,3200,2115778.515625,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-01-10,667.6903076171875,0.9845297414718512,3400,2270147.045898437,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-01-11,658.3909912109375,-1.3927589333199708,5700,3752828.649902344,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-01-12,647.2318115234375,-1.694916825483228,11900,7702058.557128906,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-01-15,637.9324951171875,-1.4367829641070196,3200,2041383.984375,13.467976,4858451456.0,5.682,505.0,89.62,,,
