日期,收盘,涨跌幅,成交量,成交额,PER,PBR,時価総額,営業利益率,ROA,ROE,配当利回り,EPS
2024-06-07,2791.1640625,2.657688846833484,131400,366758957.8125,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-06-10,2814.287109375,0.828437395911763,91700,258070127.9296875,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-06-11,2800.798828125,-0.4792787916011676,77300,216501749.4140625,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-06-12,2724.684814453125,-2.717582316428979,163400,445213498.6816406,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-06-13,2676.511474609375,-1.7680334836607137,92400,247309660.25390625,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-06-14,2705.41552734375,1.0799151435954002,139400,377134924.5117188,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-06-17,2633.155517578125,-2.6709394189280755,123400,324931390.8691406,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-06-18,2596.543701171875,-1.3904160298106594,163800,425313858.2519531,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-06-19,2582.091552734375,-0.5565917658530983,135600,350131614.55078125,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-06-20,2633.155517578125,1.9776202276667647,190100,500562863.8916016,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-06-21,2639.899658203125,0.2561239007714544,576800,1522694122.8515625,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-06-24,2649.534423828125,0.3649671151348954,175800,465788151.7089844,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-06-25,2668.8037109375,0.7272706833351572,81700,218041263.1835937,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-06-26,2682.292236328125,0.5054146670789406,109400,293442770.6542969,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-06-27,2600.397705078125,-3.053154691380977,185700,482893853.8330078,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-06-28,2619.6669921875,0.7410130793357173,145200,380375647.265625,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-07-01,2573.42041015625,-1.7653611000622904,198700,511338635.4980469,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-07-02,2613.885986328125,1.5724432748016604,251500,657392325.5615234,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-07-03,2637.97265625,0.9214889267496584,105800,279097507.03125,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-07-04,2634.118896484375,-0.146087934478567,77300,203617390.6982422,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-07-05,2569.566650390625,-2.4506200604651807,123000,316056697.9980469,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-07-08,2550.29736328125,-0.7499041562687547,145400,370813236.62109375,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-07-09,2556.078125,0.2266701052975328,166800,426353831.25,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-07-10,2563.785888671875,0.3015464823429514,101300,259711510.5224609,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-07-11,2603.287841796875,1.5407664617993255,97200,253039578.22265625,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-07-12,2602.324462890625,-0.0370062384490332,108400,282091971.7773437,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-07-16,2568.60302734375,-1.2958197960225792,71900,184682557.6660156,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-07-17,2581.12841796875,0.4876343479962575,67000,172935604.00390625,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-07-18,2646.64404296875,2.5382551501082817,137500,363913555.9082031,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-07-19,2613.885986328125,-1.237720528669206,78400,204928661.328125,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-07-22,2606.178466796875,-0.2948682372362121,109000,284073452.8808594,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-07-23,2568.60302734375,-1.441783052536194,126900,325955724.1699219,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-07-24,2520.429931640625,-1.8754589631135743,109500,275987077.51464844,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-07-25,2546.443359375,1.032102793567535,120400,306591780.46875,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-07-26,2530.064453125,-0.6432071693132091,122300,309426882.6171875,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-07-29,2556.078125,1.0281821810060654,96300,246150323.4375,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-07-30,2429.864013671875,-4.937803351692349,417100,1013496280.1025392,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-07-31,2442.388916015625,0.5154569257076691,231700,565901511.8408203,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-08-01,2391.3251953125,-2.090728481786086,196500,469895400.8789063,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-08-02,2311.357421875,-3.3440777354018403,331000,765059306.640625,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-08-05,2165.873779296875,-6.294294478268403,302100,654310468.7255859,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-08-06,2365.3115234375,9.208188678722085,311900,737740664.1601562,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-08-07,2395.17919921875,1.2627375077361336,250200,599273835.6445312,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-08-08,2343.15185546875,-2.172169154064552,142300,333430509.0332031,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-08-09,2352.78662109375,0.4111882720069237,161900,380916153.9550781,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-08-13,2405.777099609375,2.252243277845189,162500,390938778.6865234,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-08-14,2398.069580078125,-0.3203754634002242,103700,248679815.4541016,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-08-15,2389.3984375,-0.3615884480650644,62900,150293161.71875,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-08-16,2432.75439453125,1.814513492216596,53900,131125461.86523438,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-08-19,2422.156005859375,-0.4356538701851598,43000,104152708.25195312,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-08-20,2462.621826171875,1.670652931298,68400,168443332.91015625,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-08-21,2480.927734375,0.7433503597091606,62600,155306076.171875,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-08-22,2479.96435546875,-0.0388313973398668,58000,143837932.6171875,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-08-23,2492.4892578125,0.5050436437173067,67400,167993775.9765625,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-08-26,2481.89111328125,-0.4252032179489218,49900,123846366.55273438,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-08-27,2502.123779296875,0.8152116709453816,55800,139618506.88476562,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-08-28,2503.08740234375,0.0385122053052855,47200,118145725.390625,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-08-29,2490.5625,-0.5003781462853629,40100,99871556.25,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-08-30,2490.5625,0.0,89600,223154400.0,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-09-02,2444.31591796875,-1.8568729767371783,55000,134437375.48828125,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-09-03,2453.95068359375,0.3941702279223635,57400,140856769.23828125,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-09-04,2408.667724609375,-1.845308436193149,71400,171978875.53710938,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-09-05,2406.74072265625,-0.0800028137312947,78700,189410494.87304688,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-09-06,2390.36181640625,-0.6805430304899218,75000,179277136.23046875,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-09-09,2395.17919921875,0.2015336247189081,58300,139638947.31445312,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-09-10,2379.763671875,-0.6436064303154465,39500,94000665.0390625,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
2024-09-11,2338.33447265625,-1.7408955228780387,104900,245291286.18164065,1.3535791e-06,1.4358425,197141184512,6.279,3.979,6.710000000000001,2.79,2596818940.0
