日期,收盘,涨跌幅,成交量,成交额,PER,PBR,時価総額,営業利益率,配当利回り,EPS,开盘,最高,最低
2018-06-29,199.99819946289065,-0.1002116578749046,56000,11199899.169921877,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-07-02,196.7886199951172,-1.6048041814341274,71200,14011349.743652344,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-07-03,192.3754272460937,-2.2426056695417307,156400,30087516.821289062,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-07-04,187.5610198974609,-2.502610347668799,80000,15004881.591796877,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-07-05,184.1508178710937,-1.818182705677085,146800,27033340.06347656,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-07-06,192.3754272460937,4.46623559432533,107200,20622645.80078125,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-07-09,190.77061462402344,-0.8342087370739826,57200,10912079.15649414,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-07-10,194.98321533203125,2.2082020945993985,52000,10139127.197265623,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-07-11,189.76760864257807,-2.67490033979162,50800,9640194.519042969,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-07-12,192.5760040283203,1.479912934473293,49200,9474739.39819336,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-07-13,192.5760040283203,0.0,47200,9089587.39013672,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-07-16,192.5760040283203,0.0,0,0.0,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-07-17,189.36639404296875,-1.6666718169515815,52800,9998545.60546875,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-07-18,192.5760040283203,1.6949205805879552,36400,7009766.546630859,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-07-19,194.58203125,1.041680780428211,40800,7938946.875,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-07-20,191.57302856445312,-1.5463928843876151,27600,5287415.588378906,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-07-23,190.77061462402344,-0.4188553819097329,44400,8470215.28930664,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-07-24,192.5760040283203,0.94636661304206,22800,4390732.891845703,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-07-25,194.1808013916016,0.8333319467181521,36800,7145853.4912109375,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-07-26,201.4024353027344,3.719025701500245,126800,25537828.79638672,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-07-27,202.60601806640625,0.5976008988484827,80000,16208481.4453125,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-07-30,194.7826232910156,-3.861383215589586,63600,12388174.841308594,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-07-31,193.37841796875,-0.720908928394326,33200,6420163.4765625,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-08-01,193.980209350586,0.3111988339532301,23200,4500340.856933594,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-08-02,191.57302856445312,-1.2409414311860267,46400,8888988.525390625,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-08-03,188.3634185791016,-1.6753976326431164,71200,13411475.402832031,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-08-06,188.5640106201172,0.1064920367918498,34000,6411176.361083984,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-08-07,189.76760864257807,0.6382967876546353,29600,5617121.2158203125,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-08-08,195.7856292724609,3.171258083995565,140800,27566616.6015625,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-08-09,214.04022216796875,9.323765469070343,480000,102739306.640625,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-08-10,214.44142150878903,0.1874410971716589,211600,45375804.791259766,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-08-13,207.01919555664065,-3.4611904267031868,124000,25670380.24902344,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-08-14,215.6450042724609,4.166670966248764,145200,31311654.620361328,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-08-15,218.0522308349609,1.1162913653490092,82400,17967503.82080078,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-08-16,222.86659240722656,2.207893748131151,134000,29864123.38256836,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-08-17,232.696044921875,4.410464757628563,237600,55288580.2734375,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-08-20,232.29478454589844,-0.1724397061029892,136800,31777926.525878903,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-08-21,220.25881958007807,-5.181332413187334,158800,34977100.549316406,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-08-22,224.47140502929688,1.912561529772128,52800,11852090.185546877,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-08-23,226.47743225097656,0.893667156143052,58000,13135691.07055664,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-08-24,225.4743804931641,-0.4428925866224675,35200,7936698.193359375,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-08-27,240.7200469970703,6.7615959163788375,219600,52862122.32055664,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-08-28,235.50442504882807,-2.166675361402559,76400,17992538.07373047,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-08-29,236.5074005126953,0.4258839143507442,29600,7000619.055175781,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-08-30,234.30084228515625,-0.9329763985210348,84800,19868711.42578125,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-08-31,232.4954071044922,-0.7705628213093507,47600,11066781.378173828,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-09-03,223.0672302246093,-4.055209949005755,65200,14543983.410644531,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-09-04,224.2708282470703,0.539567385693096,79600,17851957.928466797,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-09-05,218.85464477539065,-2.415019159653209,64000,14006697.265625,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-09-06,210.63003540039065,-3.758023679799383,108800,22916547.8515625,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-09-07,207.8216094970703,-1.3333454072595674,47200,9809179.96826172,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-09-10,208.42340087890625,0.2895711294375491,16400,3418143.7744140625,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-09-11,209.0252227783203,0.2887496782396859,52800,11036531.762695312,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-09-12,209.4264373779297,0.1919455433542882,51600,10806404.168701172,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-09-13,211.2318115234375,0.8620564662759511,36000,7604345.21484375,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-09-14,219.0552215576172,3.703708251970194,107200,23482719.75097656,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-09-17,219.0552215576172,0.0,0,0.0,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-09-18,225.0731964111328,2.7472409973723133,91200,20526675.512695312,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-09-19,221.6630401611328,-1.5151321011902308,56800,12590460.681152344,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-09-20,223.4683837890625,0.8144540590155902,27200,6078340.0390625,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-09-21,223.0672302246093,-0.1795124471978049,52400,11688722.863769531,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-09-24,223.0672302246093,0.0,0,0.0,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-09-25,221.6630401611328,-0.6294918630865953,18000,3989934.722900391,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-09-26,230.7724456787109,4.109573481874218,65200,15046363.458251951,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-09-27,226.31895446777344,-1.929819306563918,46400,10501199.487304688,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-09-28,227.3311004638672,0.4472210462769244,22800,5183149.090576172,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-10-01,228.1408233642578,0.3561865924804896,38000,8669351.287841797,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-10-02,224.6995086669922,-1.508416883273489,74400,16717643.44482422,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-10-03,219.8411407470703,-2.162162235575716,104400,22951415.09399414,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-10-04,219.8411407470703,0.0,13600,2989839.514160156,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-10-05,224.6995086669922,2.2099448280754164,55600,12493292.681884766,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-10-08,224.6995086669922,0.0,0,0.0,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-10-09,233.20167541503903,3.783794098387294,146800,34234005.950927734,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-10-10,239.8818817138672,2.864561880586436,180400,43274691.46118164,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-10-11,233.20167541503903,-2.7847898520307224,224800,52423736.63330078,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-10-12,247.3719177246093,6.076389581829078,114400,28299347.387695312,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-10-15,245.7523956298828,-0.6546911668969368,116000,28507277.893066406,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-10-16,248.1815948486328,0.9884742781545608,117200,29086882.91625977,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-10-17,248.9913330078125,0.3262684163479301,64800,16134638.37890625,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-10-18,260.9348449707031,4.796758111462407,147200,38409609.1796875,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-10-19,267.0077514648437,2.327365091780842,134400,35885841.796875,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-10-22,276.5220642089844,3.5633095638399004,83600,23117244.567871094,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-10-23,270.4490966796875,-2.1961963674288043,340800,92169052.1484375,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-10-24,273.283203125,1.0479260164322657,165200,45146385.15625,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-10-25,282.7974853515625,3.4814734743176423,374000,105766259.52148438,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-10-26,267.2101745605469,-5.51182793285383,477600,127619579.3701172,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-10-29,264.7810363769531,-0.9090739855204588,353200,93520662.04833984,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-10-30,285.4290771484375,7.79815694281405,276000,78778425.29296875,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-10-31,301.6236267089844,5.67375605959195,473600,142848949.609375,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-11-01,297.37255859375,-1.4093949342157908,324400,96467658.0078125,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-11-02,300.6114807128906,1.0891798942233244,189200,56875692.150878906,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-11-05,284.6193542480469,-5.319865504444121,261200,74342575.32958984,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-11-06,287.45343017578125,0.9957425190644242,154000,44267828.24707031,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-11-07,290.0850524902344,0.9154951857223814,108400,31445219.689941406,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-11-08,310.7330627441406,7.117915961768273,420400,130632179.57763672,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-11-09,317.413330078125,2.1498411771794457,812000,257739624.0234375,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-11-12,338.668701171875,6.696433035285065,773200,261858639.7460937,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-11-13,364.3775634765625,7.591153896338421,846800,308554920.7519531,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-11-14,359.3167724609375,-1.3888865624270277,461600,165860622.16796875,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-11-15,348.5878601074219,-2.985920273087728,442800,154354704.4555664,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-11-16,317.61578369140625,-8.88501292227193,735600,233638170.48339844,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-11-19,339.2760009765625,6.819628745591944,619600,210215410.20507807,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-11-20,338.0614318847656,-0.3579885073806799,222000,75049637.87841797,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-11-21,341.5027770996094,1.0179644556486345,262400,89610328.7109375,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-11-22,344.1343688964844,0.7705916242395361,283200,97458853.27148438,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-11-23,344.1343688964844,0.0,0,0.0,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-11-26,343.3246459960937,-0.2352926570476254,396400,136093889.67285156,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-11-27,341.9076232910156,-0.4127355031465551,333600,114060383.1298828,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-11-28,342.514892578125,0.1776120933672409,268400,91930997.16796876,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-11-29,365.5921630859375,6.737596235337051,915600,334736184.5214844,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-11-30,380.9769592285156,4.208185430649314,511200,194755421.5576172,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-12-03,402.0299072265625,5.5260423204278375,673600,270807345.5078125,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-12-04,390.6937255859375,-2.819735904432741,424800,165966694.62890625,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-12-05,404.0542297363281,3.419687411246075,797600,322273653.6376953,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-12-06,396.7666931152344,-1.8036035969353328,729600,289480979.296875,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-12-07,404.8639526367188,2.040811303466094,407600,165022547.09472656,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-12-10,383.6086120605469,-5.249995816556218,603600,231546158.2397461,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-12-11,384.0135192871094,0.1055521731870179,495600,190317100.1586914,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-12-12,384.0135192871094,0.0,1001600,384627940.9179688,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-12-13,373.4870300292969,-2.74117673704668,731200,273093716.3574219,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-12-14,366.40185546875,-1.897033629251088,444800,162975545.3125,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-12-17,327.5349426269531,-10.607728171046826,877600,287444665.64941406,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-12-18,321.8668518066406,-1.730530115306872,728400,234447814.85595703,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-12-19,305.2674255371094,-5.157233861256161,644800,196836435.98632807,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-12-20,294.740966796875,-3.448274483172709,656000,193350074.21875,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-12-21,279.5585632324219,-5.151100550917409,918800,256858407.8979492,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-12-24,279.5585632324219,0.0,0,0.0,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-12-25,293.3238830566406,4.923948551264523,788800,231373878.95507807,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-12-26,310.53057861328125,5.866107927296871,1107200,343819456.640625,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-12-27,323.2839050292969,4.106947043015041,911200,294576294.2626953,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-12-28,295.5506896972656,-8.57859451107471,682800,201802010.92529297,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-12-31,295.5506896972656,0.0,0,0.0,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-01-04,293.1215515136719,-0.8219023904433853,473200,138705118.17626953,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-01-07,310.1257629394531,5.801078541639804,706800,219196889.24560547,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-01-08,334.6199951171875,7.8981610381451794,1216000,406897914.0625,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-01-09,331.3811340332031,-0.967922159836887,1008400,334164735.55908203,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-01-10,318.0205993652344,-4.031772872933093,497600,158247050.24414062,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-01-11,334.4175720214844,5.155946718224591,713600,238640379.39453125,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-01-15,341.7052001953125,2.1792001328686084,626800,214180819.48242188,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-01-16,374.0942993164063,9.478667313983149,1757600,657508140.4785156,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-01-17,371.4626770019531,-0.7034649603754883,1241200,461059474.6948242,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-01-18,364.98486328125,-1.7438666444190454,630800,230232451.7578125,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-01-21,361.138671875,-1.0537947715618556,1022000,369083722.65625,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-01-22,370.6529846191406,2.634531686884478,668400,247744454.9194336,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-01-23,372.4748229980469,0.4915213028105603,384800,143328311.88964844,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
