日期,收盘,涨跌幅,成交量,成交额,時価総額,営業利益率,配当利回り,EPS,开盘,最高,最低
2022-08-29,557.93505859375,-0.8881052060588202,2000,1115870.1171875,17723883520.0,0.0,192.0,-7.63,,,
2022-08-30,561.9345703125,0.7168418003397292,3700,2079157.91015625,17723883520.0,0.0,192.0,-7.63,,,
2022-08-31,574.93310546875,2.3131759181538314,24400,14028367.7734375,17723883520.0,0.0,192.0,-7.63,,,
2022-09-01,569.9336547851562,-0.8695708485107367,17100,9745865.496826172,17723883520.0,0.0,192.0,-7.63,,,
2022-09-02,565.9341430664062,-0.7017504029056987,1600,905494.62890625,17723883520.0,0.0,192.0,-7.63,,,
2022-09-05,567.9338989257812,0.3533548706815326,1500,851900.8483886719,17723883520.0,0.0,192.0,-7.63,,,
2022-09-06,567.9338989257812,0.0,1600,908694.23828125,17723883520.0,0.0,192.0,-7.63,,,
2022-09-07,569.9336547851562,0.3521106704772236,2700,1538820.867919922,17723883520.0,0.0,192.0,-7.63,,,
2022-09-08,561.9345703125,-1.403511514980038,11100,6237473.73046875,17723883520.0,0.0,192.0,-7.63,,,
2022-09-09,569.9336547851562,1.4234903661840548,1500,854900.4821777344,17723883520.0,0.0,192.0,-7.63,,,
2022-09-12,569.9336547851562,0.0,5400,3077641.735839844,17723883520.0,0.0,192.0,-7.63,,,
2022-09-13,571.9334106445312,0.3508752014528493,5700,3260020.440673828,17723883520.0,0.0,192.0,-7.63,,,
2022-09-14,567.9338989257812,-0.6992967440462738,3700,2101355.4260253906,17723883520.0,0.0,192.0,-7.63,,,
2022-09-15,569.9336547851562,0.3521106704772236,2500,1424834.1369628906,17723883520.0,0.0,192.0,-7.63,,,
2022-09-16,562.9345092773438,-1.228063205084973,14000,7881083.1298828125,17723883520.0,0.0,192.0,-7.63,,,
2022-09-20,582.9321899414062,3.552399139596929,11400,6645426.965332031,17723883520.0,0.0,192.0,-7.63,,,
2022-09-21,579.9324951171875,-0.5145872669204077,4200,2435716.4794921875,17723883520.0,0.0,192.0,-7.63,,,
2022-09-22,568.933837890625,-1.89654094556988,13400,7623713.427734375,17723883520.0,0.0,192.0,-7.63,,,
2022-09-26,559.934814453125,-1.5817346127389276,9300,5207393.774414063,17723883520.0,0.0,192.0,-7.63,,,
2022-09-27,564.9342651367188,0.8928629823592216,6800,3841553.002929688,17723883520.0,0.0,192.0,-7.63,,,
2022-09-28,564.9342651367188,0.0,5400,3050645.031738281,17723883520.0,0.0,192.0,-7.63,,,
2022-09-29,575.9329833984375,1.946902310670961,5700,3282818.0053710938,17723883520.0,0.0,192.0,-7.63,,,
2022-09-30,575.9329833984375,0.0,11500,6623229.309082031,17723883520.0,0.0,192.0,-7.63,,,
2022-10-03,561.9345703125,-2.430562841415396,3300,1854384.08203125,17723883520.0,0.0,192.0,-7.63,,,
2022-10-04,584.9319458007812,4.092536160480753,14800,8656992.797851562,17723883520.0,0.0,192.0,-7.63,,,
2022-10-05,591.9310913085938,1.1965743293829822,10300,6096890.240478516,17723883520.0,0.0,192.0,-7.63,,,
2022-10-06,594.9307861328125,0.5067641940529333,16200,9637878.735351562,17723883520.0,0.0,192.0,-7.63,,,
2022-10-07,589.9313354492188,-0.8403415657964763,7800,4601464.416503906,17723883520.0,0.0,192.0,-7.63,,,
2022-10-11,569.9336547851562,-3.389831911341812,1200,683920.3857421875,17723883520.0,0.0,192.0,-7.63,,,
2022-10-12,569.9336547851562,0.0,2600,1481827.5024414062,17723883520.0,0.0,192.0,-7.63,,,
2022-10-13,564.9342651367188,-0.8771880036321233,500,282467.1325683594,17723883520.0,0.0,192.0,-7.63,,,
2022-10-14,598.9302978515625,6.017697068988448,24900,14913364.416503906,17723883520.0,0.0,192.0,-7.63,,,
2022-10-17,599.93017578125,0.1669439554609519,22600,13558421.97265625,17723883520.0,0.0,192.0,-7.63,,,
2022-10-18,595.9306640625,-0.6666628684816045,44400,26459321.484375,17723883520.0,0.0,192.0,-7.63,,,
2022-10-19,589.9313354492188,-1.0067158773779838,56700,33449106.719970703,17723883520.0,0.0,192.0,-7.63,,,
2022-10-20,601.929931640625,2.033897077575908,61100,36777918.82324219,17723883520.0,0.0,192.0,-7.63,,,
2022-10-21,601.929931640625,0.0,38700,23294688.354492188,17723883520.0,0.0,192.0,-7.63,,,
2022-10-24,614.928466796875,2.159476456141851,5500,3382106.5673828125,17723883520.0,0.0,192.0,-7.63,,,
2022-10-25,619.9278564453125,0.8130034497311645,10700,6633228.063964844,17723883520.0,0.0,192.0,-7.63,,,
2022-10-26,609.9290161132812,-1.6129038610016575,10600,6465247.570800781,17723883520.0,0.0,192.0,-7.63,,,
2022-10-27,610.928955078125,0.1639434980837295,8000,4887431.640625,17723883520.0,0.0,192.0,-7.63,,,
2022-10-28,608.9291381835938,-0.3273403360421034,5500,3349110.2600097656,17723883520.0,0.0,192.0,-7.63,,,
2022-10-31,621.9276123046875,2.134644789682349,9700,6032697.839355469,17723883520.0,0.0,192.0,-7.63,,,
