日期,收盘,涨跌幅,成交量,成交额,PBR,時価総額,営業利益率,EPS,开盘,最高,最低
2022-11-18,2604.0,10.245554614733289,15498100,40357052400.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-11-21,2862.0,9.907834101382496,27090800,77533869600.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-11-22,2362.0,-17.470300489168412,10510400,24825564800.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-11-24,2590.0,9.6528365791702,13289500,34419805000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-11-25,2300.0,-11.196911196911197,6587900,15152170000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-11-28,2347.0,2.043478260869569,2907700,6824371900.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-11-29,2583.0,10.055389859394982,7869100,20325885300.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-11-30,2610.0,1.0452961672473782,7438800,19415268000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-12-01,2650.0,1.5325670498084198,4188700,11100055000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-12-02,2541.0,-4.1132075471698055,2287800,5813299800.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-12-05,2412.0,-5.076741440377807,2321600,5599699200.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-12-06,2388.0,-0.995024875621886,1744200,4165149600.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-12-07,2391.0,0.1256281407035153,2043400,4885769400.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-12-08,2330.0,-2.5512337933918827,1461500,3405295000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-12-09,2350.0,0.8583690987124415,2177900,5118065000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-12-12,2394.0,1.8723404255319045,2098300,5023330200.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-12-13,2383.0,-0.459482038429404,2836800,6760094400.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-12-14,2430.0,1.9723038187159148,4297900,10443897000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-12-15,2770.0,13.991769547325106,13656000,37827120000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-12-16,2689.0,-2.924187725631766,12992600,34937101400.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-12-19,2794.0,3.9047973224247023,6561700,18333389800.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-12-20,2644.0,-5.368647100930568,12797800,33837383200.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-12-21,2612.0,-1.2102874432677768,4803700,12547264400.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-12-22,2490.0,-4.670750382848388,3489000,8687610000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-12-23,1990.0,-20.080321285140567,10957600,21805624000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-12-26,1870.0,-6.030150753768848,11955600,22356972000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-12-27,1835.0,-1.871657754010692,5462800,10024238000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-12-28,1711.0,-6.7574931880109,4973200,8509145200.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-12-29,1810.0,5.786090005844535,11743300,21255373000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2022-12-30,1747.0,-3.48066298342542,5986800,10458939600.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-01-04,1879.0,7.555809959931303,10224800,19212399200.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-01-05,2014.0,7.184672698243744,17016500,34271231000.0,19.126783,20366409728.0,-50.463,-13.95,,,
