日期,收盘,涨跌幅,成交量,成交额,PER,PBR,時価総額,営業利益率,ROA,ROE,EPS,开盘,最高,最低
2022-04-06,1031.25,-4.069767441860462,161600,166650000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-04-07,947.5,-8.121212121212118,124400,117869000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-04-08,988.75,4.353562005277034,139600,138029500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-04-11,895.0,-9.481668773704175,102800,92006000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-04-12,856.25,-4.329608938547491,79600,68157500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-04-13,888.75,3.795620437956204,56000,49770000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-04-14,973.75,9.563994374120966,193200,188128500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-04-15,915.0,-6.033376123234913,145200,132858000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-04-18,875.0,-4.371584699453557,104000,91000000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-04-19,870.0,-0.5714285714285672,54800,47676000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-04-20,855.0,-1.7241379310344862,87200,74556000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-04-21,803.75,-5.994152046783629,75600,60763500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-04-22,807.5,0.4665629860031162,64800,52326000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-04-25,788.75,-2.3219814241486114,53200,41961500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-04-26,765.0,-3.0110935023771823,32000,24480000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-04-27,738.5,-3.464052287581698,60000,44310000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-04-28,729.25,-1.2525389302640466,15200,11084600.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-05-02,720.25,-1.23414466918067,11200,8066800.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-05-06,750.0,4.130510239500174,31600,23700000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-05-09,681.75,-9.099999999999998,31200,21270600.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-05-10,687.25,0.8067473414008042,22000,15119500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-05-11,721.5,4.983630411058559,29600,21356400.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-05-12,675.0,-6.44490644490644,44000,29700000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-05-13,749.75,11.07407407407408,25600,19193600.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-05-16,723.75,-3.467822607535842,58800,42556500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-05-17,711.75,-1.6580310880829008,10800,7686900.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-05-18,776.25,9.062170706006324,50000,38812500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-05-19,712.5,-8.212560386473433,49600,35340000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-05-20,733.0,2.877192982456145,17600,12900800.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-05-23,793.75,8.287858117326063,53200,42227500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-05-24,771.25,-2.834645669291336,40800,31467000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-05-25,737.5,-4.376012965964349,21600,15930000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-05-26,751.25,1.8644067796610209,22400,16828000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-05-27,745.5,-0.7653910149750365,15600,11629800.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-05-30,795.0,6.639839034205242,31600,25122000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-05-31,793.75,-0.1572327044025212,29200,23177500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-06-01,778.75,-1.8897637795275648,10400,8099000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-06-02,802.5,3.049759229534521,15600,12519000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-06-03,833.75,3.89408099688473,49600,41354000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-06-06,898.75,7.796101949025491,69200,62193500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-06-07,908.75,1.112656467315709,36400,33078500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-06-08,925.0,1.7881705639614776,34800,32190000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-06-09,876.25,-5.270270270270272,37200,32596500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-06-10,871.25,-0.5706134094151216,22800,19864500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-06-13,795.0,-8.751793400286944,36400,28938000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-06-14,800.0,0.6289308176100628,38000,30400000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-06-15,798.75,-0.1562500000000022,2000,1597500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-06-16,741.5,-7.167449139280125,26400,19575600.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-06-17,703.0,-5.192178017532035,24000,16872000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-06-20,719.75,2.3826458036984244,20400,14682900.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-06-21,737.5,2.466134074331361,33200,24485000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-06-22,803.75,8.98305084745763,43600,35043500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-06-23,770.0,-4.19906687402799,24000,18480000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-06-24,775.0,0.6493506493506551,17200,13330000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-06-27,752.5,-2.9032258064516148,12000,9030000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-06-28,772.5,2.657807308970095,22000,16995000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-06-29,765.0,-0.9708737864077666,2000,1530000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-06-30,730.25,-4.5424836601307135,20400,14897100.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-07-01,702.75,-3.76583361862376,9600,6746400.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-07-04,676.75,-3.699750978299543,47200,31942600.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-07-05,692.5,2.327299593646104,31200,21606000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-07-06,688.25,-0.6137184115523442,22000,15141500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-07-07,711.25,3.341808935706503,22400,15932000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-07-08,700.25,-1.5465729349736337,15600,10923900.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-07-11,706.25,0.8568368439842988,8400,5932500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-07-12,692.75,-1.911504424778765,13200,9144300.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-07-13,686.0,-0.9743774810537676,12000,8232000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-07-14,697.0,1.6034985422740622,9200,6412400.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-07-15,694.25,-0.3945480631276865,12400,8608700.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-07-19,712.5,2.628736046092905,19200,13680000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-07-20,705.25,-1.0175438596491282,16000,11284000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-07-21,726.25,2.977667493796532,6400,4648000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-07-22,699.75,-3.648881239242685,29200,20432700.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-07-25,699.5,-0.035727045373346,7600,5316200.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-07-26,696.25,-0.464617583988558,3200,2228000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-07-27,691.25,-0.7181328545781018,16400,11336500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-07-28,696.25,0.723327305605781,14800,10304500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-07-29,695.0,-0.1795332136445226,25200,17514000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-08-01,699.75,0.683453237410081,10400,7277400.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-08-02,711.25,1.6434440871739842,10000,7112500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-08-03,728.25,2.390158172231982,12800,9321600.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-08-04,737.25,1.2358393408856916,19600,14450100.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
