日期,收盘,涨跌幅,成交量,成交额,PBR,時価総額,営業利益率,ROA,ROE,配当利回り,EPS,开盘,最高,最低
2018-06-07,1781.654541015625,0.278857858343895,35000,62357908.93554688,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-06-08,1782.6455078125,0.0556205916501628,11300,20143894.23828125,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-06-11,1793.54541015625,0.611445309568337,15000,26903181.15234375,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-06-12,1799.490966796875,0.3314974132774928,15500,27892109.98535156,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-06-13,1779.6727294921875,-1.1013246340416116,18000,32034109.13085937,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-06-14,1786.609130859375,0.3897571307488023,7400,13220907.568359377,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-06-15,1774.7181396484375,-0.6655619858618844,6800,12068083.349609377,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-06-18,1785.6181640625,0.6141834114695932,8700,15534878.02734375,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-06-19,1758.8636474609375,-1.498333582174849,24200,42564500.26855469,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-06-20,1761.83642578125,0.1690169857455403,17800,31360688.37890625,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-06-21,1776.7000732421875,0.8436451445454907,12000,21320400.87890625,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-06-22,1773.727294921875,-0.1673202115024197,14300,25364300.31738281,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-06-25,1740.036376953125,-1.8994418175333985,21000,36540763.916015625,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-06-26,1737.0635986328125,-0.170845757001814,20900,36304629.21142578,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-06-27,1722.2000732421875,-0.8556696140730624,6100,10505420.446777344,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-06-28,1731.1181640625,0.5178312879480673,16400,28390337.890625,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-06-29,1749.9454345703125,1.087578589299154,21000,36748854.12597656,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-07-02,1744.0,-0.3397497117830106,15200,26508800.0,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-07-03,1746.9727783203125,0.1704574724949781,20800,36337033.7890625,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-07-04,1762.8272705078125,0.9075408835359068,5000,8814136.352539062,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-07-05,1766.7908935546875,0.2248446636370138,17800,31448877.90527344,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-07-06,1773.727294921875,0.3925988860646656,4800,8513891.015625,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-07-09,1783.6363525390625,0.5586573339406042,8100,14447454.455566406,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-07-10,1782.6455078125,-0.0555519472986709,21200,37792084.765625,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-07-11,1755.890869140625,-1.5008389808642275,9000,15803017.822265623,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-07-12,1754.9000244140625,-0.056429744238462,3600,6317640.087890625,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-07-13,1744.990966796875,-0.5646508336277445,13200,23033880.76171875,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-07-16,1744.990966796875,0.0,0,0.0,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-07-17,1716.2545166015625,-1.6467965016496056,8800,15103039.74609375,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-07-18,1715.263671875,-0.0577329712451057,10900,18696374.0234375,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-07-19,1715.263671875,0.0,4900,8404791.9921875,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-07-20,1701.390869140625,-0.8087854340907419,16000,27222253.90625,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-07-23,1675.6273193359375,-1.514264021982248,32400,54290325.146484375,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-07-24,1640.9454345703125,-2.0697851106515563,31200,51197497.55859375,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-07-25,1635.990966796875,-0.301927636901278,16800,27484648.2421875,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-07-26,1615.181884765625,-1.271955802542868,22400,36180074.21875,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-07-27,1576.536376953125,-2.3926412360740223,36600,57701231.396484375,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-07-30,1560.681884765625,-1.0056534323769295,23900,37300297.04589844,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-07-31,1555.727294921875,-0.3174631481350221,11700,18202009.350585938,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-08-01,1530.95458984375,-1.5923552385425643,23000,35211955.56640625,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-08-02,1592.390869140625,4.012939358517831,46200,73568458.15429688,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-08-03,1578.5181884765625,-0.8711856449886146,5900,9313257.31201172,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-08-06,1568.609130859375,-0.6277442787498533,9700,15215508.569335938,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-08-07,1578.5181884765625,0.6317098008832067,7400,11681034.594726562,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
