日期,收盘,涨跌幅,成交量,成交额,PBR,時価総額,営業利益率,ROA,EPS,开盘,最高,最低
2018-03-27,733.631103515625,2.699062433462452,30700,22522474.877929688,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-03-28,735.5591430664062,0.2628077710366883,16300,11989614.031982422,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-03-29,739.4153442382812,0.524254399965618,21700,16045312.969970703,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-03-30,739.4153442382812,0.0,9100,6728679.632568359,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-04-02,719.1705932617188,-2.73794033817596,44100,31715423.1628418,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-04-03,721.0986328125,0.2680921006567915,17100,12330786.62109375,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-04-04,732.6670532226562,1.6042771243423235,20400,14946407.885742188,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-04-05,737.4873046875,0.6579047663794579,23800,17552197.8515625,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-04-06,738.4512939453125,0.1307126579244588,18400,13587503.80859375,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-04-09,747.1276245117188,1.1749360638331874,16900,12626456.854248049,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-04-10,743.2714233398438,-0.5161368747936712,44800,33298559.765625,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-04-11,747.1276245117188,0.5188146686102124,19900,14867839.727783203,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-04-12,738.4512939453125,-1.1612916296699138,28100,20750481.35986328,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-04-13,735.5591430664062,-0.3916508648057704,13900,10224272.088623049,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-04-16,740.3793334960938,0.6553097021665844,10500,7773983.001708984,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-04-17,737.4873046875,-0.3906144698741842,14000,10324822.265625,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-04-18,745.1995849609375,1.0457509199708117,18200,13562632.446289062,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-04-19,750.9838256835938,0.7762002072182472,16300,12241036.358642578,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-04-20,749.0556640625,-0.2567514179601105,10300,7715273.33984375,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-04-23,750.9838256835938,0.2574123277616413,9500,7134346.343994141,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-04-24,751.9478149414062,0.1283635179406106,16000,12031165.0390625,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-04-25,753.8758544921875,0.2564060314387051,17600,13268215.0390625,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-04-26,760.6240844726562,0.8951380973747147,31700,24111783.477783203,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-04-27,766.4083251953125,0.7604598435331456,47200,36174472.94921875,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-04-30,766.4083251953125,0.0,0,0.0,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-05-01,757.7319946289062,-1.1320767639358742,27100,20534537.05444336,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-05-02,761.5880737304688,0.5088974899959187,17100,13023156.060791016,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-05-03,761.5880737304688,0.0,0,0.0,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-05-04,761.5880737304688,0.0,0,0.0,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-05-07,761.5880737304688,0.0,16000,12185409.1796875,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-05-08,765.4442138671875,0.506328850165727,18400,14084173.53515625,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-05-09,765.4442138671875,0.0,17500,13395273.74267578,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-05-10,768.3363037109375,0.377831563862574,38300,29427280.432128903,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-05-11,771.2284545898438,0.376417314259081,43100,33239946.392822266,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-05-14,766.4083251953125,-0.6249937182484677,21800,16707701.489257812,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-05-15,763.5162353515625,-0.377356266715001,14900,11376391.90673828,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-05-16,761.5880737304688,-0.2525370819660311,19900,15155602.667236328,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-05-17,755.8038940429688,-0.7594892681508925,20200,15267238.659667969,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-05-18,762.5521850585938,0.8928626947827478,23200,17691210.693359375,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-05-21,764.480224609375,0.2528403417574765,16500,12613923.706054688,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-05-22,764.480224609375,0.0,11800,9020866.650390623,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
