日期,收盘,涨跌幅,成交量,成交额,PER,PBR,時価総額,営業利益率,ROE,配当利回り,EPS,开盘,最高,最低
2018-03-14,1034.692138671875,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-03-15,1034.692138671875,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-03-16,1034.692138671875,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-03-19,1045.567138671875,1.0510372693040004,1200,1254680.56640625,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-03-20,1045.567138671875,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-03-21,1045.567138671875,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-03-22,1045.567138671875,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-03-23,1045.567138671875,0.0,900,941010.4248046876,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-03-26,1045.567138671875,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-03-27,1045.567138671875,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-03-28,1039.35302734375,-0.5943292494844932,300,311805.908203125,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-03-29,1039.35302734375,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-03-30,1039.35302734375,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-04-02,1054.888916015625,1.49476532642423,900,949400.0244140624,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-04-03,1054.888916015625,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-04-04,1054.888916015625,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-04-05,1054.888916015625,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-04-06,1054.888916015625,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-04-09,1054.888916015625,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-04-10,1054.888916015625,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-04-11,1054.888916015625,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-04-12,1054.888916015625,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-04-13,1071.9783935546875,1.620026268131669,600,643187.0361328125,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-04-16,1087.5142822265625,1.449272556731107,900,978762.8540039062,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-04-17,1087.5142822265625,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-04-18,1087.5142822265625,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-04-19,1087.5142822265625,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-04-20,1087.5142822265625,0.0,1200,1305017.138671875,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-04-23,1107.711181640625,1.857161762759718,5100,5649327.026367188,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-04-24,1117.032470703125,0.8414909244388369,5100,5696865.6005859375,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-04-25,1117.032470703125,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-04-26,1117.032470703125,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-04-27,1073.5318603515625,-3.894301328965011,1200,1288238.232421875,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-04-30,1073.5318603515625,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-05-01,1061.103271484375,-1.1577289250751632,5400,5729957.666015625,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-05-02,1061.103271484375,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-05-03,1061.103271484375,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-05-04,1061.103271484375,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-05-07,1061.103271484375,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-05-08,1087.5142822265625,2.4890141659106524,1500,1631271.4233398438,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-05-09,1087.5142822265625,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-05-10,1109.264404296875,1.9999849588900664,5100,5657248.461914063,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-05-11,1120.1397705078125,0.9804124398845148,3300,3696461.242675781,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-05-14,1123.246826171875,0.2773810684941535,2700,3032766.4306640625,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-05-15,1123.246826171875,0.0,2100,2358818.334960937,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-05-16,1123.246826171875,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-05-17,1131.014892578125,0.6915725221965818,900,1017913.4033203124,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-05-18,1134.1219482421875,0.2747139480170801,3300,3742602.429199218,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-05-21,1131.014892578125,-0.2739613380093986,3000,3393044.677734375,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-05-22,1135.6756591796875,0.4120871115090629,900,1022108.0932617188,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-05-23,1134.1219482421875,-0.1368093896299771,1200,1360946.337890625,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-05-24,1140.3365478515625,0.5479657297001728,3600,4105211.572265625,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-05-25,1140.3365478515625,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
