日期,收盘,涨跌幅,成交量,成交额,PER,PBR,時価総額,営業利益率,ROA,EPS,开盘,最高,最低
2018-04-26,2141.6904296875,4.16861410668552,1600,3426704.6875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-04-27,2144.57958984375,0.1349009229439257,600,1286747.75390625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-04-30,2144.57958984375,0.0,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-05-01,2212.951904296875,3.1881453491827028,1600,3540723.046875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-05-02,2170.580078125,-1.9147197049155016,2400,5209392.1875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-05-03,2170.580078125,0.0,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-05-04,2170.580078125,0.0,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-05-07,2167.69140625,-0.1330829442374392,1200,2601229.6875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-05-08,2167.69140625,0.0,1900,4118613.671875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-05-09,2167.69140625,0.0,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-05-10,2167.69140625,0.0,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-05-11,2449.847412109375,13.016428678263336,34700,85009705.20019531,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-05-14,2409.40185546875,-1.650941868489697,4600,11083248.53515625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-05-15,2317.917724609375,-3.796964406403547,3500,8112712.0361328125,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-05-16,2269.76806640625,-2.0772807288161776,1900,4312559.326171875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-05-17,2392.06787109375,5.388207125547351,1900,4544928.955078125,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-05-18,2358.36328125,-1.4090147796826047,1000,2358363.28125,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-05-21,2325.621826171875,-1.388312620809251,1400,3255870.556640625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-05-22,2353.54833984375,1.20081921134374,800,1882838.671875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-05-23,2398.808837890625,1.9230749282115769,900,2158927.9541015625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-05-24,2374.734130859375,-1.0036109026686724,1000,2374734.130859375,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-05-25,2417.105712890625,1.7842663513627288,2700,6526185.424804688,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-05-28,2419.03173828125,0.0796831259945785,2100,5079966.650390625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-05-29,2350.659423828125,-2.8264331290545286,1100,2585725.366210937,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-05-30,2330.436767578125,-0.8602971593846154,700,1631305.7373046875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-05-31,2367.9931640625,1.6115604167799449,900,2131193.84765625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-06-01,2369.919189453125,0.0813357664986025,1400,3317886.865234375,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-06-04,2355.474365234375,-0.6095070364860566,7000,16488320.556640623,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-06-05,2388.216064453125,1.3900257078574452,2400,5731718.5546875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-06-06,2418.06884765625,1.2500034501677693,900,2176261.962890625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-06-07,2446.95849609375,1.194740524675364,1200,2936350.1953125,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-06-08,2406.512939453125,-1.652890995298495,2000,4813025.87890625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-06-11,2408.438720703125,0.0800237230570433,800,1926750.9765625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-06-12,2382.438232421875,-1.0795578088721005,1700,4050144.995117188,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-06-13,2412.290771484375,1.2530246810282808,600,1447374.462890625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-06-14,2412.290771484375,0.0,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-06-15,2407.475830078125,-0.1996003741823848,100,240747.5830078125,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-06-18,2405.5498046875,-0.0800018578197891,700,1683884.86328125,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-06-19,2438.29150390625,1.3610900574558382,1100,2682120.654296875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-06-20,2474.88525390625,1.500794713895992,1900,4702281.982421875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-06-21,2497.996826171875,0.9338441945599962,800,1998397.4609375,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-06-22,2503.77490234375,0.2313083872380161,800,2003019.921875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-06-25,2532.66455078125,1.1538436786173056,2300,5825128.466796875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-06-26,2532.66455078125,0.0,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-06-27,2503.77490234375,-1.1406819915645183,1100,2754152.392578125,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-06-28,2530.738525390625,1.076918816529182,900,2277664.6728515625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-06-29,2530.738525390625,0.0,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-07-02,2523.997802734375,-0.266353974882072,600,1514398.681640625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-07-03,2551.924560546875,1.1064493710036372,1100,2807117.0166015625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-07-04,2549.998291015625,-0.0754830123519512,700,1784998.8037109375,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-07-05,2527.849609375,-0.8685763327238805,1200,3033419.53125,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-07-06,2521.108642578125,-0.2666680316690817,1000,2521108.642578125,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-07-09,2573.110107421875,2.0626427582499,800,2058488.0859375,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-07-10,2575.999267578125,0.1122828031306033,1000,2575999.267578125,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-07-11,2678.076171875,3.9626138711151393,3500,9373266.6015625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
