code,name,date,close,pct_chg,volume,z_score,vol_ratio
688271,联影医疗,2026/1/5,132.79,5.81,90048,3.44,2.34
603610,麒盛科技,2026/1/5,20.6,8.14,372611,3.42,3.41
688729,屹唐股份,2026/1/5,25.93,5.92,169118,3.42,2.49
600055,万东医疗,2026/1/5,16.38,5.13,145840,3.41,3.36
605155,西大门,2026/1/5,18.64,8.37,222295,3.4,5.07
688678,福立旺,2026/1/5,25.6,5.87,111110,3.37,2.16
600211,西藏药业,2026/1/5,44.19,3.85,69128,3.37,2.7
603115,海星股份,2026/1/5,19.7,5.29,56920,3.37,2.36
600998,九州通,2026/1/5,5.32,3.91,904168,3.35,2.55
688111,金山办公,2026/1/5,327,6.49,104753,3.32,2.43
603200,上海洗霸,2026/1/5,74.5,4.72,100132,3.3,2.38
688380,中微半导,2026/1/5,33.87,5.35,92818,3.28,2.17
603858,步长制药,2026/1/5,16.29,4.16,90889,3.26,1.98
688591,泰凌微,2026/1/5,45.66,7.28,105455,3.22,2.11
600276,恒瑞医药,2026/1/5,63.08,5.89,851170,3.21,2.66
688410,山外山,2026/1/5,15.93,6.41,82856,3.17,2.45
688155,先惠技术,2026/1/5,66.11,9.36,59014,3.16,2.81
603667,五洲新春,2026/1/5,74.2,6.03,1032214,3.11,2.49
600604,市北高新,2026/1/5,5.85,5.6,481698,3.11,2.61
688787,海天瑞声,2026/1/5,123.45,6.43,43686,3.11,2.44
688008,澜起科技,2026/1/5,127.75,8.45,533780,3.11,2.08
605599,菜百股份,2026/1/5,17.02,3.97,82382,3.11,2.08
603520,司太立,2026/1/5,9.8,4.26,145122,3.1,1.98
603859,能科科技,2026/1/5,44.22,5.16,215377,3.09,3.2
688095,福昕软件,2026/1/5,97.16,8.84,62451,3.09,2.59
603259,药明康德,2026/1/5,94.57,4.34,728620,3.06,2.09
600295,鄂尔多斯,2026/1/5,13,5.18,254334,3.04,2.17
603456,九洲药业,2026/1/5,18.59,3.85,194566,3.03,1.88
603039,泛微网络,2026/1/5,57.2,6.84,58506,3.01,3.11
688520,神州细胞,2026/1/5,46.9,8.29,62825,3,2.54
600267,海正药业,2026/1/5,10.21,3.24,164099,3,1.98
688085,三友医疗,2026/1/5,18.76,4.11,57137,2.99,2.46
600645,中源协和,2026/1/5,26.74,6.11,188388,2.95,2.3
920394,民士达,2026/1/5,44.49,8.72,72838,2.92,3.11
688185,康希诺,2026/1/5,64.79,3.09,20741,2.92,1.93
688351,微电生理,2026/1/5,25.18,8.77,113617,2.89,2.4
603998,方盛制药,2026/1/5,11.69,4,162013,2.89,2.41
688088,虹软科技,2026/1/5,51.81,4.67,116646,2.89,2.25
601336,新华保险,2026/1/5,75.88,8.87,393798,2.84,2.08
603588,高能环境,2026/1/5,8.2,6.22,728655,2.82,2.23
688118,普元信息,2026/1/5,26.7,4.62,43836,2.8,2.56
603920,世运电路,2026/1/5,52.65,8.76,629169,2.78,2.16
688653,康希通信,2026/1/5,12.65,4.12,104361,2.76,1.81
600588,用友网络,2026/1/5,13.67,3.09,690778,2.74,1.88
601628,中国人寿,2026/1/5,48.27,6.09,288607,2.72,1.87
600285,羚锐制药,2026/1/5,21.72,4.88,160184,2.72,2.78
688182,灿勤科技,2026/1/5,31.1,5.35,113002,2.71,1.77
688981,中芯国际,2026/1/5,129.95,5.8,911394,2.69,2.02
688062,迈威生物-U,2026/1/5,41.18,7.04,100588,2.68,1.94
601929,吉视传媒,2026/1/5,3.58,4.07,2717749,2.68,1.91
600482,中国动力,2026/1/5,21.81,5.36,508126,2.67,2.39
688070,纵横股份,2026/1/5,57.73,4.21,25995,2.66,2.11
688369,致远互联,2026/1/5,26.51,4.25,83948,2.62,2.5
920670,数字人,2026/1/5,18.1,7.48,123183,2.62,2.52
688283,坤恒顺维,2026/1/5,44.09,9.4,69805,2.6,2.03
688359,三孚新科,2026/1/5,70.77,6.21,29126,2.58,1.88
688050,爱博医疗,2026/1/5,63.21,4.2,42875,2.57,2.14
920227,美登科技,2026/1/5,61.85,3.26,22769,2.57,2.49
688213,思特威-W,2026/1/5,98.35,3.43,89727,2.54,1.7
603337,杰克科技,2026/1/5,45.29,4.52,93442,2.54,2.33
603080,新疆火炬,2026/1/5,24.79,4.95,124877,2.54,2.58
688687,凯因科技,2026/1/5,25.87,3.81,45323,2.51,1.81
